web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1548238462-3311","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@PessimistInvest","Pessimist Investor","Wow. Lost company acquires struggling company under attack by $AMZN, $MSFT and $GOOG. Well, $IBM is probably levered enough now to short. $RHTpic.twitter.com/mrA0m6eIkr","3","7","61","1540757866000","1:17 PM - 28 Oct 2018","/PessimistInvest/status/1056641194317570049"
"1548238462-2761","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@DomainMondo","Domain Mondo","Attention Amazon $AMZN Investors, Day 2 May Have Just Arrived https://www.domainmondo.com/2019/01/attention-amazon-amzn-investors-day-2.html … #technology #ecommerce #stocks #StockMarket #investors #BezosDivorce #Bezos #AWS #Amazonpic.twitter.com/qTMUJEqKM0","","25","25","1547421670000","3:21 PM - 13 Jan 2019","/DomainMondo/status/1084591210965147648"
"1548238462-3215","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@TMFChrisHill","Chris Hill","As a resident of northern Virginia for 25+ years, let me be very clear.
No one, no one, NO ONE....is referring to Crystal City 
as ""National Landing"".  $AMZN pic.twitter.com/8f4M6a7utq","8","2","51","1542129037000","9:10 AM - 13 Nov 2018","/TMFChrisHill/status/1062392299932524546"
"1548238462-2451","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@OptionsSweeper","Options Sweeper","Large $AMZN PUTS being bought up Apx 12M for 02/01 EXP 1700,1710,1720 Strikes","","","2","1548120056000","5:20 PM - 21 Jan 2019","/OptionsSweeper/status/1087520457136459776"
"1548238462-2450","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@securixhk","SECURIX","Amazon $AMZN #Bezos Empire :pic.twitter.com/aVQypKszix","","1","2","1548092275000","9:37 AM - 21 Jan 2019","/securixhk/status/1087403934837293056"
"1548238462-2880","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@DividendMaster","Dividend Master","$AMZN SAYS 100 MILLION ALEXA DEVICES HAVE BEEN SOLD: VERGE

no wonder i see NSA running  big ads that they are hiring 

they gonna need a zillion people to analyze all that Alexa data pouring in","2","3","35","1546640443000","2:20 PM - 4 Jan 2019","/DividendMaster/status/1081314510407839744"
"1548238462-2562","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@Shark_Stocks","SharkStocks","Great day so far, close to 50% gains on $AMZN puts and 32% gains on $BA puts!
Only accepting a few more members.
https://www.paypal.com/cgi-bin/webscr?cmd=_s-xclick&hosted_button_id=S9MAFXDBFLC4N …pic.twitter.com/BC7k5fqu2S","4","4","10","1548177046000","9:10 AM - 22 Jan 2019","/Shark_Stocks/status/1087759489833431040"
"1548238462-2731","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@AndrewRangeley","Andrew Walker","Reading through an $ADT transcript and found this story on how they're integrating with $AMZN / Alexa for home security interesting. pic.twitter.com/O7RQNvW77B","","5","19","1547567804000","7:56 AM - 15 Jan 2019","/AndrewRangeley/status/1085204144900763649"
"1548238462-3399","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@DougKass","Douglas Kass","Several ""talking heads"" argued that as $NFLX goes so will the markets today. I respectfully disagreed on @realmoney.
The jury is out.
$NFLX shares rose by +$40 or +13%
$SPY is LOWER than close now
$QQQ is +$0.90 or less than 0.5%
$GOOGL +0.4%
$AMZN +1.6%
$FB flat
Case closed.","5","2","14","1539768834000","2:33 AM - 17 Oct 2018","/DougKass/status/1052492893959667712"
"1548238462-3240","https://twitter.com/search?l=&q=%24AMZN%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@carlquintanilla","Carl Quintanilla","Look at where Amazon is hiring the most: its web services division. About 3.5x more people at AWS than at any of its other units, says Citi. “Job openings at AWS alone are 1.3x the next largest company in our universe (Alphabet).”

$AMZN pic.twitter.com/e9UptjFhUr","3","35","62","1541639027000","5:03 PM - 7 Nov 2018","/carlquintanilla/status/1060337050199703553"
