web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1548234671-166","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@pitts_man","Pitts","The first hit from GDPR litigation is here $GOOG https://www.cnil.fr/en/cnils-restricted-committee-imposes-financial-penalty-50-million-euros-against-google-llc …pic.twitter.com/skSRktNQCS","1","1","","1548083805000","7:16 AM - 21 Jan 2019","/pitts_man/status/1087368407069143040"
"1548234671-254","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@optioncharts","max pain","$GOOG open interest for maturity 02/15/2019. High put=925.00 High call=1180.00 #maxpain #options http://maximum-pain.com/options/open-interest/GOOG …pic.twitter.com/v5KDh0Q6t7","","","","1548035164000","5:46 PM - 20 Jan 2019","/optioncharts/status/1087164392469422080"
"1548234671-457","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@DomainMondo","Domain Mondo","U.S. President Donald Trump vs Google $GOOG $GOOGL (video) https://www.domainmondo.com/2018/09/us-president-donald-trump-vs-google.html … @POTUS @realDonaldTrump #Trump #Google #Search #stocks #investors #FreeSpeech #InternetFreedom #Censorship #Regulationpic.twitter.com/4giesqK63b","","25","27","1536012667000","3:11 PM - 3 Sep 2018","/DomainMondo/status/1036738386411835393"
"1548234671-711","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@CarlMuhlstein","Carl Muhlstein","As #SiliconBeach #Hollywood #WLA #Burbank & #DTLA oil their catcher's mits for more #creativeoffice, $GOOG, $AAPL & other #tech firms could double their footprint in #SF #BayArea http://go.theinformation.com/0b6c66073bdaf9f0 … via @theinformation","","6","7","1517335031000","9:57 AM - 30 Jan 2018","/CarlMuhlstein/status/958398701877145600"
"1548234671-360","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@GerberKawasaki","Ross Gerber","The best sale today is Apple Google Tesla and Disney. Granted I’m long but this is a heck of a #blackfridaysale $aapl $goog $tsla $dis #ThanksgivingDay2018","8","12","53","1542992402000","9:00 AM - 23 Nov 2018","/GerberKawasaki/status/1066013515415093248"
"1548234671-369","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@LanceRoberts","Lance Roberts","The Startup Bubble Is A Derivative Of The Stock Market Bubble: https://realinvestmentadvice.com/the-startup-bubble-is-a-derivative-of-the-stock-market-bubble/ … $GOOG $FBpic.twitter.com/wZFkUu8XsP","2","28","34","1542318603000","1:50 PM - 15 Nov 2018","/LanceRoberts/status/1063187396794163201"
"1548234671-632","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@daytrend","Vic Scherer","I sent this out during market hours, but that never works.

If you are a $GOOG, $FB, or $TWTR enthusiast and use them for everything, this article is worth some real time. Deep research from a guy who will become known soon. @iamdylancurran  No joke.https://threadreaderapp.com/thread/977559925680467968.html …","2","14","26","1522191740000","4:02 PM - 27 Mar 2018","/daytrend/status/978769216697401344"
"1548234671-348","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@DomainMondo","Domain Mondo","Digital Winner Microsoft $MSFT, Digital Loser Facebook $FB? (video) https://www.domainmondo.com/2018/11/digital-winner-microsoft-msft-digital.html … #StockMarket #stocks #tech $GOOG $GOOGL $AMZN $AAPL #investors #investingpic.twitter.com/cHMvsDnrIS","","24","25","1543533294000","3:14 PM - 29 Nov 2018","/DomainMondo/status/1068282179636133888"
"1548234671-403","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@natsturner","Nat Turner","Not sure what will actually happen, but the street is expecting 22.6% year-over-year Q3 revenue growth for $GOOG (earnings this Thurs). Not insane for tech companies, but their revenue in Q3 2017 was $27.77 BILLION. Unbelievable growth rate at that level of scale.","2","3","49","1540252095000","4:48 PM - 22 Oct 2018","/natsturner/status/1054519835009445888"
"1548234671-730","https://twitter.com/search?l=&q=%24GOOG%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@businessinsider","Business Insider","I tried the impressive haptic feedback technology that Google secretly acquired — here's what it's like $GOOG http://read.bi/2D1JqMt pic.twitter.com/mMAwWI8g6M","","4","8","1515692054000","9:34 AM - 11 Jan 2018","/businessinsider/status/951507556010283013"
