web-scraper-order,web-scraper-start-url,handle,name,content,replies,retweets,favorites,unix_timestamp,published_date,url
"1548236264-674","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@RampCapitalLLC","Ramp Capital  ♿️","$NFLX -25% SINCE EARNINGS ""BEAT""","6","17","82","1540410313000","12:45 PM - 24 Oct 2018","/RampCapitalLLC/status/1055183449361920000"
"1548236264-38","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@StockTwits","StockTwits","Netflix $NFLX is raising its prices. This is what the market thinks of that: https://stocktwits.com/sspencer_smb/message/150652545 …pic.twitter.com/h1PqNLi7bB","4","27","47","1547562973000","6:36 AM - 15 Jan 2019","/StockTwits/status/1085183879235948545"
"1548236264-79","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@TraderMentality","TM  📉 🧐 📈","$NFLX Weekly 
 
Head fake shooter week. We'll see if confirms lower. pic.twitter.com/m4NK6H3x1A","3","1","20","1548163295000","5:21 AM - 22 Jan 2019","/TraderMentality/status/1087701813065850882"
"1548236264-1124","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@ReutersBiz","Reuters Business","Netflix's subscriber growth falls short of Wall Street expectations, sending shares down 14 percent on fears that the company’s rapid expansion is slowing https://reut.rs/2NnyE3X  via @LARichwine @VibhutiSharmas $NFLX pic.twitter.com/hilWEoxYYl","4","14","11","1531809604000","11:40 PM - 16 Jul 2018","/ReutersBiz/status/1019109460743217152"
"1548236264-375","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@OMillionaires","Option Millionaires","$NFLX upgraded to Strong Buy from Outperform at Raymond James

$UBS upgraded yesterday after the close as well","3","6","38","1547208163000","4:02 AM - 11 Jan 2019","/OMillionaires/status/1083695700225998848"
"1548236264-540","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@UTR_INFO","UTR Equities #UTR","Some action in the #UTR room today. Mainly $AMZN $SPY $ARNC $QCOM $NIO $QQQ $IWM $AAPL $FB $NFLX #OPTIONS

@_ms_izzy with a great QCOM call & @AsshatTrading all over $AMZN w/the fellow Amazoners. ;) Nice teamwork!
Join the fam and up your game with us! —> https://www.utrequities.com pic.twitter.com/UDFEclvgVq","2","4","12","1543526362000","1:19 PM - 29 Nov 2018","/UTR_INFO/status/1068253106998337536"
"1548236264-685","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@OptionsHawk","Joe Kunkle","Netflix $NFLX seeing 3,000 Nov. 30th (W) $400 far OTM calls bought all morning $1.15 to $1.30 range","6","13","41","1540307640000","8:14 AM - 23 Oct 2018","/OptionsHawk/status/1054752809046941696"
"1548236264-1423","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@Sandro_power","PowerTriggerTrade","$AAPL $SPY $GOOGL $NFLX $FDX  live stream tonight starting at 9:30pm eastern time, how to become a member inside of PowerGroupTrades as well.","11","65","72","1526507424000","2:50 PM - 16 May 2018","/Sandro_power/status/996870505662746631"
"1548236264-883","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@kpak82","kpak","$NFLX pic.twitter.com/Dtc2BiC9kv","4","11","50","1536978103000","7:21 PM - 14 Sep 2018","/kpak82/status/1040787719734132736"
"1548236264-55","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@KennyPo16752229","Kenny Powers","Swinging some $NFLX puts later into the week up about 16% on them.","","","1","1548187739000","12:08 PM - 22 Jan 2019","/KennyPo16752229/status/1087804337060044800"
"1548236264-625","https://twitter.com/search?l=&q=%24NFLX%20since%3A2018-01-01%20until%3A2019-01-23&src=typd&lang=en","@ChrisDenk","ChrisDank","$MGON will be current by the EOM IMO. This stock is set up to smash through 52-week highs. Grab anything below a penny ASAP $BABA $SBUX $TSN $FB $AVLR $SMAR $TLRY $GIS $WFM $NIO $TSLA $BAC $YUM $TWTR $AMZN $NFLX  $BA $CRM $GOOGL $SQ $SVMK $LULU $F #OTC #NASDAQ @CNBC @YahooFinance","1","6","10","1541443159000","10:39 AM - 5 Nov 2018","/ChrisDenk/status/1059515520989286400"
